"variable","etiqueta","tipo","valores/categorías","unidad","origen","transformación","notas"
"MACROSÓMICO","MACROSÓMICO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Peso/ Edad Gestacional CODIGO","Peso/ Edad Gestacional CODIGO","entero","rango observado: 1–3","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Peso al nacimiento CODIGO","Peso al nacimiento CODIGO","entero","rango observado: 1–3","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"MASCULINO","MASCULINO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"RN Aspiración","RN Aspiración","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"RN Estimulación","RN Estimulación","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"RN Masaje","RN Masaje","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"RN Máscara","RN Máscara","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"RN Oxíge0","RN Oxíge0","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"RN Tubo","RN Tubo","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Alimento al alta","Alimento al alta","texto/categórico"," | artificial | lactancia exclusiva | parcial","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"CONSEJERIA LACTANCIA","CONSEJERIA LACTANCIA","texto/categórico","0 | 1 | no | si","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Lactancia exclusiva SI NO","Lactancia exclusiva SI NO","texto/categórico"," | no | No | si | Si","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Defectos congenitos CODIGO","Defectos congenitos CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Defectos congénitos CIE","Defectos congénitos CIE","texto/categórico","REVISION_MANUAL: categorías o texto libre no enumerados","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Tipos de defectos","Tipos de defectos","texto/categórico","REVISION_MANUAL: categorías o texto libre no enumerados","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"SISTEMA AFECTADO","SISTEMA AFECTADO","texto/categórico"," | ANOMALIAS CROMOSOMICAS | anomalias tegumentarias | CARDIOPULMONARES | GASTROINTESTINAL | hidrops fetal | Labio y paladar hendido | MUSCULO-ESQUELETICAS | Sistema nervioso | UROGENITAL","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"DC nervioso","DC nervioso","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"DC GASTRO","DC GASTRO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"DC Urogenital","DC Urogenital","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"DC Cardiopulmonar","DC Cardiopulmonar","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"DC SINDROMES","DC SINDROMES","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"DC esqueleticas","DC esqueleticas","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"DC oligoamnios","DC oligoamnios","entero","rango observado: 0–0","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"DC hidrops","DC hidrops","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"DC labio y paladar","DC labio y paladar","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"DC Tegumentario","DC Tegumentario","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Egreso RN","Egreso RN","texto/categórico","1 | fallece | traslado | vivo","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"RN vivo CODIGO","RN vivo CODIGO","texto/categórico"," | 0 | 1 | traslado","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Antibióticos periparto","Antibióticos periparto","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Nefropatía materna","Nefropatía materna","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Infección urinaria","Infección urinaria","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Sufrimiento fetal","Sufrimiento fetal","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Placenta previa","Placenta previa","entero","rango observado: 0–0","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Infecciones de tracto genital","Infecciones de tracto genital","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Desprendimiento placenta","Desprendimiento placenta","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Obstrucción del parto","Obstrucción del parto","texto/categórico","REVISION_MANUAL: categorías o texto libre no enumerados","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Trastornos de liquido amniotico","Trastornos de liquido amniotico","texto/categórico","Anhidramnios | ninguno | Oligoamnios | Polihidramnios","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"MAMA SIFILIS","MAMA SIFILIS","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"MAMA HIV","MAMA HIV","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Infección ovular","Infección ovular","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Infección purperal","Infección purperal","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Placenta retenida","Placenta retenida","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE OTRAS PATOLOGIAS","BEBE OTRAS PATOLOGIAS","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE EFECTO ANESTESIA/ANALGESIA","BEBE EFECTO ANESTESIA/ANALGESIA","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEB CMV","BEB CMV","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE VIH POSITIVO","BEBE VIH POSITIVO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE hidrocefalia adquirida","BEBE hidrocefalia adquirida","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE abstinencia","BEBE abstinencia","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE Otro trastorno metabolico","BEBE Otro trastorno metabolico","texto/categórico","0 | 1 | Otro trastorno metabolico","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE trastorno adaptativo","BEBE trastorno adaptativo","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE tosoplasmoSsis","BEBE tosoplasmoSsis","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE obstruccion intestinal","BEBE obstruccion intestinal","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE insuficiencia hepatica","BEBE insuficiencia hepatica","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE enfisema pulmonar","BEBE enfisema pulmonar","entero","rango observado: 0–0","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE depresión farmacologica","BEBE depresión farmacologica","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE hemorragia digestiva","BEBE hemorragia digestiva","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE endocarditis","BEBE endocarditis","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE hidroelectrolitico","BEBE hidroelectrolitico","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE ATELECTASIA","BEBE ATELECTASIA","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE sifilis congenita","BEBE sifilis congenita","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE. retinopatia","BEBE. retinopatia","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE alteraciones metabolicas","BEBE alteraciones metabolicas","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE perforacion intestinal","BEBE perforacion intestinal","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE insuficiencia cardiaca","BEBE insuficiencia cardiaca","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE Hiperglicemia","BEBE Hiperglicemia","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE neumomediastino","BEBE neumomediastino","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE neumotorax","BEBE neumotorax","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE hipertension pulmonar","BEBE hipertension pulmonar","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE Insuficiencia renal","BEBE Insuficiencia renal","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE conjuntivitis","BEBE conjuntivitis","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE enfriamiento","BEBE enfriamiento","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE SINDROME ASPIRATIVO","BEBE SINDROME ASPIRATIVO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE infeccion neonatal","BEBE infeccion neonatal","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE COLESTASIS","BEBE COLESTASIS","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE hemorragia pulmonar","BEBE hemorragia pulmonar","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE SEPSIS","BEBE SEPSIS","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE hemorragia intracraneal","BEBE hemorragia intracraneal","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE hemorragia Intraventricular","BEBE hemorragia Intraventricular","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE CONVULSIONES","BEBE CONVULSIONES","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE apnea","BEBE apnea","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE CIANOSIS","BEBE CIANOSIS","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE encefalopatia hipoxica","BEBE encefalopatia hipoxica","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE Hipoglicemia","BEBE Hipoglicemia","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE DISPLASIA BRONCOPULMONAR","BEBE DISPLASIA BRONCOPULMONAR","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE cefalohematoma","BEBE cefalohematoma","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE acido-base","BEBE acido-base","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE trastrono coagulacion","BEBE trastrono coagulacion","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE neumonia","BEBE neumonia","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE trauma obstetrico","BEBE trauma obstetrico","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE TAQUIPNEA TRANSITORIA","BEBE TAQUIPNEA TRANSITORIA","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE POLICITEMIA","BEBE POLICITEMIA","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE Membrana hialina","BEBE Membrana hialina","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE Ictericia","BEBE Ictericia","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE Enterocolitis necrotizante","BEBE Enterocolitis necrotizante","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"BEBE Dificultad respiratoria","BEBE Dificultad respiratoria","texto/categórico","0 | 1 | s","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
